Taxa (replacement patterns)	Labels (search patterns)
operator/boolean/or	boolean_operator:Or
operator/boolean/or/short_circuit	short_circuit:Or
operator/boolean/short_circuit	short_circuit
operator/list/concatenation	concatenation_operator:List
operator/list/replication	replication_operator:List
operator/matrix/multiplication	binary_operator:MatMult
operator/string/concatenation	concatenation_operator:Str
operator/string/format	string_formatting_operator
operator/string/replication	replication_operator:Str
operator/ternary	node:IfExp
operator/tuple/concatenation	concatenation_operator:Tuple
operator/tuple/replication	replication_operator:Tuple
pattern/elements/accumulate	accumulate_elements\b.+
pattern/elements/accumulate/all	accumulate_all_elements\b.+
pattern/elements/accumulate/count	count_elements:.+
pattern/elements/accumulate/find/best	find_best_element:.+
pattern/elements/accumulate/find/best/\1	accumulate_elements:(max|min)
pattern/elements/accumulate/find/best/index	find_best_element_index.+
pattern/elements/accumulate/into_list	accumulate_elements:append
pattern/elements/accumulate/into_list/extension	accumulate_elements:extend
pattern/elements/accumulate/into_set	accumulate_elements:add
pattern/elements/accumulate/into_set/\1	accumulate_elements:(union|update)
pattern/elements/accumulate/into_set/intersection	accumulate_elements:intersection
pattern/elements/accumulate/product	accumulate_elements:Mult
pattern/elements/accumulate/some	accumulate_some_elements\b.+
pattern/elements/accumulate/substraction	accumulate_elements:Sub
pattern/elements/accumulate/summation	accumulate_elements:Add
pattern/elements/find/first_good	find_first_good_element:.+
pattern/elements/find/first_good/index	find_first_good_element_index.+
pattern/elements/satisfy/all	universal_quantification:.+
pattern/elements/satisfy/some	existential_quantification:.+
pattern/expression/clamp/min_max	clamp_min_max
pattern/expression/clamp/ternary	clamp_ternary
pattern/expression/mid_value	mid_value(_naive)?
pattern/inputs/accumulate	accumulate_inputs:.+
pattern/inputs/accumulate/count	count_inputs:.+
pattern/inputs/find/first_good	get_valid_input:.+
pattern/states/accumulate/count	count_states:.+
style/functional	functional_style
style/functional_trait/\1	external_free_call:(map|filter|reduce|partial|accumulate)
style/functional_trait/higher_order	higher_order_function:.+
style/functional_trait/lambda	function
style/functional_trait/pure_function	pure_function:.*
style/imperative	imperative_style
style/imperative/flat	flat_style
style/naive/\1	([^:]+)_naive\b.*
style/object_oriented	object_oriented_style
style/one_liner	one_liner_style
style/procedural	procedural_style
