call/composition	composition
type/container/tuple/assignment	parallel_assignment:\d+
type/container/tuple/assignment/slide	slide
type/container/tuple/assignment/swap	swap
type/container/tuple/empty	empty_literal:Tuple
type/container/tuple/empty	function_call_without_arguments:tuple
type/elementary/boolean	function_call:bool
type/elementary/boolean	literal:(True|False)
type/elementary/boolean/false	function_call_without_arguments:bool
type/elementary/boolean/false	literal:False
type/elementary/boolean/true	literal:True
type/elementary/null	literal:None
type/elementary/number/complex	function_call:complex
type/elementary/number/complex	literal:.*j
type/elementary/number/complex/zero	function_call_without_arguments:complex
type/elementary/number/complex/zero	literal:0j
type/elementary/number/floating_point	function_call:float
type/elementary/number/floating_point	literal:[\d-]*?[e\.][\d-]*?(?<!j)
type/elementary/number/floating_point/zero	function_call_without_arguments:float
type/elementary/number/floating_point/zero	literal:0.0
type/elementary/number/integer	function_call:int
type/elementary/number/integer	literal:-?\d+
type/elementary/number/integer/zero	function_call_without_arguments:int
type/elementary/number/integer/zero	literal:0
type/elementary/string	function_call:str
type/elementary/string	literal:Str
type/elementary/string/empty	empty_literal:Str
type/elementary/string/formatted	f_string
variable/assignment	assignment\b.*
variable/assignment/augmented/\1	augmented_assignment:(.+)
variable/assignment/augmented/subscript/\1	subscript_augmented_assignment:(.+)
variable/assignment/chained	chained_assignment
variable/assignment/conditional/compact	compact_conditional_assignment
variable/assignment/conditional/corrective	corrective_conditional_assignment
variable/assignment/conditional/verbose	verbose_conditional_assignment
variable/assignment/constant	assignment_lhs_identifier:[[:upper:]0-9_]+
variable/assignment/parallel/\1	parallel_assignment:(\d+)
variable/assignment/single	single_assignment:.+
-- EOF	EOF
call/function/other	TODO
call/function/other/predicate	TODO
io/standard/print/multiple	TODO
io/standard/print/newline	TODO
io/standard/print/without_newline	TODO
pattern/elements/accumulate/find_best/index	TODO
pattern/states/accumulate	TODO
pattern/states/accumulate/find_best	TODO
style/functional	TODO
style/object	TODO
style/one_liner	TODO
style/procedural	TODO
style/for	TODO
style/test_driven	TODO
subscript/index/double	TODO
type/elementary/string/newline	TODO
variable/assignment/argument	TODO
variable/assignment/iteration_variable	TODO
variable/assignment/iteration_variable/tuple	TODO
variable/assignment/parallel/subscript	TODO
variable/assignment/single/subscript	TODO
variable/scope/global	TODO
variable/scope/local	TODO
variable/scope/local/argument	TODO
variable/scope/outer	TODO
variable/scope/shadowing	TODO
